time,open,high,low,close,volume
4/7/2009,323.32,323.32,323.32,323.32,
4/8/2009,314.82,314.82,314.82,314.82,
4/9/2009,312.95,312.95,312.95,312.95,
4/10/2009,326.97,326.97,326.97,326.97,
4/13/2009,342.3,342.3,342.3,342.3,
4/14/2009,350.3,350.3,350.3,350.3,
4/15/2009,344.31,344.31,344.31,344.31,
4/16/2009,351.12,351.12,351.12,351.12,
4/17/2009,339.28,339.28,339.28,339.28,
4/20/2009,323.58,323.58,323.58,323.58,
4/21/2009,315.98,315.98,315.98,315.98,
4/22/2009,325.02,325.02,325.02,325.02,
4/23/2009,318,318,318,318,
4/24/2009,312.08,312.08,312.08,312.08,
4/27/2009,316.22,316.22,316.22,316.22,
4/28/2009,318.11,318.11,318.11,318.11,
4/29/2009,325.52,325.52,325.52,325.52,
5/4/2009,340.99,340.99,340.99,340.99,
5/5/2009,357.02,357.02,357.02,357.02,
5/6/2009,359.81,359.81,359.81,359.81,
5/7/2009,375.21,375.21,375.21,375.21,
5/8/2009,379.74,379.74,379.74,379.74,
5/11/2009,387.78,387.78,387.78,387.78,
5/12/2009,397.61,397.61,397.61,397.61,
5/13/2009,389.22,389.22,389.22,389.22,
5/14/2009,385.31,385.31,385.31,385.31,
5/15/2009,398.16,398.16,398.16,398.16,
5/18/2009,398.18,398.18,398.18,398.18,
5/19/2009,408.94,408.94,408.94,408.94,
5/20/2009,418.67,418.67,418.67,418.67,
5/21/2009,414.96,414.96,414.96,414.96,
5/22/2009,408.4,408.4,408.4,408.4,
5/25/2009,425.9,425.9,425.9,425.9,
5/26/2009,429.07,429.07,429.07,429.07,
5/27/2009,429.98,429.98,429.98,429.98,
5/28/2009,420.56,420.56,420.56,420.56,
5/29/2009,416.94,416.94,416.94,416.94,
6/1/2009,430.67,430.67,430.67,430.67,
6/2/2009,445.51,445.51,445.51,445.51,
6/3/2009,446,446,446,446,
6/4/2009,456.87,456.87,456.87,456.87,
6/5/2009,476.81,476.81,476.81,476.81,
6/8/2009,499.45,499.45,499.45,499.45,
6/9/2009,508.48,508.48,508.48,508.48,
6/10/2009,490.91,490.91,490.91,490.91,
6/11/2009,503.7,503.7,503.7,503.7,
6/12/2009,497.75,497.75,497.75,497.75,
6/15/2009,478.01,478.01,478.01,478.01,
6/16/2009,456.6,456.6,456.6,456.6,
6/17/2009,459.37,459.37,459.37,459.37,
6/18/2009,464.18,464.18,464.18,464.18,
6/19/2009,461.26,461.26,461.26,461.26,
6/22/2009,444.96,444.96,444.96,444.96,
6/23/2009,425.85,425.85,425.85,425.85,
6/24/2009,443,443,443,443,
6/25/2009,442.65,442.65,442.65,442.65,
6/26/2009,450.23,450.23,450.23,450.23,
6/29/2009,447.22,447.22,447.22,447.22,
6/30/2009,432.87,432.87,432.87,432.87,
7/1/2009,414.45,414.45,414.45,414.45,
7/2/2009,423.32,423.32,423.32,423.32,
7/3/2009,426.82,426.82,426.82,426.82,
7/6/2009,445.47,445.47,445.47,445.47,
7/7/2009,439.83,439.83,439.83,439.83,
7/8/2009,439.97,439.97,439.97,439.97,
7/9/2009,440.92,440.92,440.92,440.92,
7/10/2009,435.1,435.1,435.1,435.1,
7/13/2009,425.52,425.52,425.52,425.52,
7/14/2009,419.24,419.24,419.24,419.24,
7/15/2009,430.03,430.03,430.03,430.03,
7/16/2009,434.87,434.87,434.87,434.87,
7/17/2009,431.31,431.31,431.31,431.31,
7/20/2009,415.43,415.43,415.43,415.43,
7/21/2009,419.42,419.42,419.42,419.42,
7/22/2009,424.15,424.15,424.15,424.15,
7/23/2009,438.53,438.53,438.53,438.53,
7/24/2009,459.03,459.03,459.03,459.03,
7/27/2009,474.8,474.8,474.8,474.8,
7/28/2009,471.11,471.11,471.11,471.11,
7/29/2009,466.92,466.92,466.92,466.92,
7/30/2009,461.28,461.28,461.28,461.28,
